discente,periodoano,media_c1,faltas_c1,media_pre,faltas_pre,media_vga,faltas_vga,descricao_c3
356661e8a6d40b65bc5fa18c5e9b78b6,20151,0.7,0.0,0.7,4.0,0.9,16.0,NÃO PRESENTE
aeb94959346c2fc17c35966c41c681b0,20151,9.6,0.0,6.6,0.0,7.8,4.0,APROVADO
d5665220f71e6102773217d854209604,20151,9.8,0.0,9.6,0.0,9.1,0.0,APROVADO
7511ed528f9397235a75ff7f8bde87a6,20151,0.8,0.0,0.2,0.0,0.0,0.0,NÃO PRESENTE
5a4a04d12d2cf270b8fd8d54fc0c3e80,20151,9.7,0.0,8.4,4.0,9.3,12.0,APROVADO
1d30ffbae8c527f4ead1f5250a61405d,20151,8.6,0.0,9.2,0.0,4.5,0.0,REPROVADO
91c32457dd3b1d85fa15829b468ce86e,20151,0.7,0.0,0.2,0.0,0.0,2.0,NÃO PRESENTE
4c31488fe79b578f7c4605aea32acc3f,20151,10.0,0.0,8.2,10.0,10.0,10.0,APROVADO
7929dfd62113a1fdfbded2a0f63dc6a1,20151,5.0,0.0,8.5,0.0,5.3,0.0,NÃO PRESENTE
a3bc6f821ed792af2d8d67f97c4ddb5b,20151,5.2,0.0,2.5,4.0,4.4,2.0,NÃO PRESENTE
8bd95303461b46a805d0de93f7d7667b,20151,9.1,4.0,9.4,0.0,7.8,0.0,REPROVADO
4341cbb3fae84601e35af27d922c8139,20151,5.4,6.0,4.4,0.0,6.5,0.0,APROVADO POR NOTA
78659db24ed7bb17444bd3599cc5b8a6,20151,7.3,0.0,8.6,0.0,8.2,0.0,APROVADO
ae77d0fe20450287d88ee3a2eabd0934,20151,4.4,6.0,4.3,0.0,4.8,0.0,NÃO PRESENTE
c604100f25878689fdf17776967c5d23,20151,0.0,42.0,8.0,6.0,0.3,0.0,NÃO PRESENTE
a43063b58855624848e10679d3271886,20151,0.0,50.0,0.0,0.0,0.0,32.0,NÃO PRESENTE
ec97d7df253dcb933c4d9637fcede77a,20151,0.8,26.0,5.4,0.0,3.2,0.0,NÃO PRESENTE
69fba037e2009fcaaa7fbdf1e6241608,20151,0.0,34.0,0.0,26.0,0.0,30.0,NÃO PRESENTE
607590f5dd5afce78544e3c6f5077342,20151,5.0,0.0,5.4,0.0,5.7,0.0,REPROVADO
067db82d7cb43eb31ceb4a46dbb0956e,20151,0.5,14.0,3.3,0.0,1.3,6.0,NÃO PRESENTE
0d376b2c3460e2d8332cf9d7c2489baa,20151,0.0,16.0,0.8,10.0,0.8,0.0,NÃO PRESENTE
0e0092295428c4d29a327e26bfafc07f,20151,0.0,50.0,0.5,0.0,0.0,0.0,NÃO PRESENTE
5bb938151f3e304dfe44c7e76b21694f,20151,2.7,6.0,2.6,2.0,5.9,8.0,NÃO PRESENTE
66ee3463f6ab1e789772d22d3ec4918a,20151,1.3,24.0,4.1,22.0,0.4,0.0,NÃO PRESENTE
52e82d51ca5675f0cd42a67ab67170e3,20151,0.3,20.0,1.5,0.0,2.9,4.0,NÃO PRESENTE
6ee2ba86ff74b6c1701d48fa0634caf0,20151,8.0,0.0,9.1,0.0,8.5,0.0,APROVADO
133770d1ab8a6de4a147b21e84d6010f,20151,6.2,0.0,7.6,0.0,5.0,0.0,REPROVADO
979ba056309bdd79f2e6428ab0f73c7b,20151,0.0,32.0,0.0,0.0,0.0,4.0,NÃO PRESENTE
cf9902d94d272a8cde460a99d424931b,20151,0.0,32.0,1.7,0.0,0.2,22.0,NÃO PRESENTE
ef9181bc5150462578a6ff0e59cc624a,20151,1.5,20.0,5.3,0.0,3.8,0.0,NÃO PRESENTE
568a42b218a442de21c2c1bea5d66a97,20151,2.1,14.0,5.1,0.0,6.5,0.0,NÃO PRESENTE
7ab8c36448688fe01eedea9952252624,20151,10.0,4.0,6.7,2.0,10.0,2.0,APROVADO
d01df097002309668f2272d704799de2,20151,1.4,0.0,3.0,0.0,1.0,2.0,NÃO PRESENTE
