discente,media_final,numero_total_faltas,descricao
14befc5420440ce1859725fcc04c0ece,0.0,0.0,NÃO PRESENTE
196f6cbe46473bc01adab0afb54d8f62,5.5,0.0,NÃO PRESENTE
d4a43cd9485d4e3ebbcfe40e24dbab48,0.0,0.0,NÃO PRESENTE
fd41c1163e76317fa5ee606b7d21d741,0.0,0.0,NÃO PRESENTE
a8e196da99d57a906d48ba4a9f49801d,0.3,0.0,NÃO PRESENTE
b3e7ddda883824a07795e6e7f9e2fabc,0.0,0.0,NÃO PRESENTE
879c76759288ccf9f25e5e25700e8e88,2.8,0.0,NÃO PRESENTE
fd5206b9128f3d65d05d5d08dc7bcf9f,5.0,0.0,APROVADO POR NOTA
4c7c03581d61fe0a1d60d0789086b2e2,0.0,0.0,NÃO PRESENTE
eb191a6e663a9af88e963ccd434c44f1,0.0,0.0,NÃO PRESENTE
de15bb476670a6602aeb88935050862c,6.8,0.0,APROVADO POR NOTA
0815346701f7f7ee7f94a074a32d1a55,9.6,0.0,APROVADO POR NOTA
3bcaea9cbada02d48b44ead40d7c7b50,6.1,0.0,NÃO PRESENTE
7d884996ee7cf38108dad220bae16074,5.0,0.0,NÃO PRESENTE
b36460a3b396cc0d09bf7f673f25d190,5.5,0.0,NÃO PRESENTE
82d271abd15fac86e282a48458e3d91f,9.7,0.0,NÃO PRESENTE
146e2d262140eff9c7adcdb394956317,2.3,0.0,NÃO PRESENTE
6b6dd664489f264b37b3a40d51fb1574,5.5,0.0,NÃO PRESENTE
a4f95ccf33f3e900e2f1138e67ef879d,5.5,0.0,NÃO PRESENTE
621fa53cd5bf23d9d8b300354f86fa4b,8.7,0.0,APROVADO POR NOTA
86064d770da2762e42605e447d8b20d1,6.0,0.0,NÃO PRESENTE
a8aadeb9d6cdede214298796fa816a34,3.5,0.0,NÃO PRESENTE
aacac2eb7c262d7cc09116272777b4b5,7.6,0.0,NÃO PRESENTE
ec93663b3e10a628b7b3cf18b26e0304,6.9,0.0,NÃO PRESENTE
173ff04b3cd89bc1d7b428dc698351f1,9.6,0.0,REPROVADO
